post_id,fetched_at,breed,pattern_name,with_image,views,likes,replies,reposts,quotes
18092834045517760,2026-05-17T16:00:27.712459+00:00,shiba,,,1,0,1,0,0
17937811527207196,2026-05-17T16:00:27.712459+00:00,shiba,,,2,0,1,0,0
17886373758509374,2026-05-17T16:00:27.712459+00:00,shiba,,,0,0,1,0,0
18170654821416995,2026-05-17T16:00:27.712459+00:00,shiba,,,0,0,1,0,0
18102121628002744,2026-05-17T16:00:27.712459+00:00,shiba,,True,157,1,1,0,0
18353943997239724,2026-05-17T16:00:27.712459+00:00,shiba,,True,171,0,1,0,0
17897379999307039,2026-05-17T16:00:27.712459+00:00,shiba,,True,97,0,1,0,0
18103323731076375,2026-05-17T16:00:27.712459+00:00,shiba,,True,24,0,1,0,0
18102578779886915,2026-05-17T16:00:27.712459+00:00,shiba,,True,86,1,1,0,0
18098365316152092,2026-05-17T16:00:27.712459+00:00,shiba,,True,278,5,1,0,0
18092859437233596,2026-05-17T16:00:27.712459+00:00,shiba,,True,52,0,1,0,0
18106704266314158,2026-05-17T16:00:27.712459+00:00,shiba,,True,82,2,1,0,0
17967013239082113,2026-05-17T16:00:27.712459+00:00,shiba,,True,2020,69,21,0,0
17877856809598685,2026-05-17T16:00:27.712459+00:00,shiba,,True,233,2,1,0,0
18102554956999749,2026-05-17T16:00:27.712459+00:00,shiba,,True,60,0,1,0,0
18094092179225817,2026-05-17T16:00:27.712459+00:00,shiba,,True,561,7,2,0,0
17890035591498739,2026-05-17T16:00:27.712459+00:00,shiba,,True,95,0,1,1,0
18101891332824567,2026-05-17T16:00:27.712459+00:00,shiba,,True,91,1,1,0,0
17850124443693360,2026-05-17T16:00:27.712459+00:00,shiba,,True,126,1,1,0,0
18110578994308085,2026-05-17T16:00:27.712459+00:00,shiba,,True,77,2,1,0,0
18199589299359900,2026-05-17T16:00:27.712459+00:00,shiba,,True,91,0,1,0,0
17867983344618852,2026-05-17T16:00:27.712459+00:00,shiba,,True,165,1,1,0,0
17875384608604259,2026-05-17T16:00:27.712459+00:00,shiba,,True,160,1,1,0,0
17855101689662214,2026-05-17T16:00:27.712459+00:00,shiba,,True,235,1,1,0,0
18075314447257410,2026-05-17T16:00:27.712459+00:00,shiba,,True,293,0,1,0,0
18093475070221279,2026-05-17T16:00:27.712459+00:00,shiba,,True,223,1,1,0,0
18047217383537211,2026-05-17T16:00:27.712459+00:00,shiba,,True,148,1,1,0,0
17951679440982676,2026-05-17T16:00:27.712459+00:00,shiba,,True,1509,28,0,0,0
18104920685511901,2026-05-17T16:00:27.712459+00:00,shiba,,True,5446,60,0,0,0
18091672745218654,2026-05-17T16:00:27.712459+00:00,shiba,,True,679,3,0,0,0
18201754768352272,2026-05-17T16:00:27.712459+00:00,shiba,,True,340,8,1,1,0
18102847075807176,2026-05-17T16:00:27.712459+00:00,shiba,,True,237,3,1,0,0
18110110093714271,2026-05-17T16:00:27.712459+00:00,shiba,,True,277,4,1,0,0
18080095241625031,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,524,2,1,0,0
18587286853046427,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,382,3,1,0,0
17951159982158143,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,332,1,1,0,0
17912591541390996,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,499,3,1,0,0
17909111769406342,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,687,10,1,0,0
17990604743972755,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,7648,65,1,0,0
17862001770687112,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,304,0,1,1,0
18101957926819949,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,250,0,1,0,0
18085106810079149,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,200,0,1,0,0
17977775391009544,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,205,0,1,0,0
17906346066242379,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,194,0,1,0,0
18051789833727064,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,123,0,1,0,0
18080895251440243,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,130,0,1,0,0
17922757725343890,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,323,2,0,0,0
18092278073221351,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,636,6,0,0,0
17894249031333025,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,92,1,1,0,0
18105177280766855,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,115,1,1,0,0
17999681009946337,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,878,4,0,0,0
18102940382514153,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,236,1,1,0,0
18391336381081784,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,1382,8,5,0,0
17866423422543468,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,830,7,1,0,0
18082093775136473,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,467,0,1,0,0
18107014645763005,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,370,2,1,0,0
18013181357699624,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,335,3,1,0,0
18121303882652049,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,6107,144,1,1,0
18113803861828434,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,304,3,1,0,0
18128986015578497,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,187,0,1,0,0
18101014408834247,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,163,0,1,0,0
18125095864626748,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,130,0,1,0,0
17914166730383208,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,118,2,1,0,0
18141737998511912,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,130,0,1,0,0
17988912791987893,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,519,25,1,0,0
18180560830379167,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,324,0,0,0,0
17968449623907934,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,82,0,1,0,0
17914261695380645,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,76,1,1,1,0
18203531236345669,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,62,0,1,0,0
18021094364664581,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,47,0,1,0,0
17882200323413825,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,70,0,1,0,0
17912080017390948,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,51,0,1,0,0
18064332500399741,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,44,1,1,1,0
18049912007521401,2026-05-17T16:00:27.712459+00:00,schnauzer,,True,40,0,1,0,0
18099872810011228,2026-05-17T16:00:27.712459+00:00,cavalier,,True,245,9,1,0,0
18553398919065860,2026-05-17T16:00:27.712459+00:00,cavalier,,True,73,0,1,0,0
18093929435231483,2026-05-17T16:00:27.712459+00:00,cavalier,,True,1094,16,0,0,0
18017872043848788,2026-05-17T16:00:27.712459+00:00,cavalier,,True,260,22,1,1,0
18035799500800448,2026-05-17T16:00:27.712459+00:00,cavalier,,True,194,1,1,0,0
18107977567913463,2026-05-17T16:00:27.712459+00:00,cavalier,,True,224,5,1,0,0
17857814067649984,2026-05-17T16:00:27.712459+00:00,cavalier,,True,340,3,0,0,0
17961553086064952,2026-05-17T16:00:27.712459+00:00,cavalier,,True,183,6,1,1,0
17862724053652104,2026-05-17T16:00:27.712459+00:00,cavalier,,True,256,10,1,0,0
18598405111054596,2026-05-17T16:00:27.712459+00:00,cavalier,,True,88,4,1,0,0
18124978903624137,2026-05-17T16:00:27.712459+00:00,cavalier,,True,133,1,1,0,0
18047741423769579,2026-05-17T16:00:27.712459+00:00,cavalier,,True,485,18,1,0,0
18128782792596936,2026-05-17T16:00:27.712459+00:00,cavalier,,True,100,1,1,0,0
17926046655302881,2026-05-17T16:00:27.712459+00:00,cavalier,,True,187,6,1,0,0
17920503312142244,2026-05-17T16:00:27.712459+00:00,cavalier,,True,861,16,0,0,0
17930607855268703,2026-05-17T16:00:27.712459+00:00,cavalier,,True,393,18,1,1,0
18108760042910612,2026-05-17T16:00:27.712459+00:00,cavalier,,True,242,1,1,0,0
18115110679824709,2026-05-17T16:00:27.712459+00:00,cavalier,,True,192,3,1,0,0
18466292863108588,2026-05-17T16:00:27.712459+00:00,cavalier,,True,1680,29,0,0,0
17888771556485246,2026-05-17T16:00:27.712459+00:00,cavalier,,True,119,0,1,0,0
18084370199632081,2026-05-17T16:00:27.712459+00:00,cavalier,,True,182,1,1,0,0
18121122694661763,2026-05-17T16:00:27.712459+00:00,cavalier,,True,70,0,1,0,0
17922453648340968,2026-05-17T16:00:27.712459+00:00,cavalier,,True,204,3,1,0,0
18101496391834015,2026-05-17T16:00:27.712459+00:00,cavalier,,True,63,0,0,0,0
17906338950416361,2026-05-17T16:00:27.712459+00:00,cavalier,,True,247,8,1,0,0
17852057778677097,2026-05-17T16:00:27.712459+00:00,cavalier,,True,1674,0,0,0,0
18547130518069215,2026-05-17T16:00:27.712459+00:00,cavalier,,True,63,0,1,0,0
18080599538542506,2026-05-17T16:00:27.712459+00:00,cavalier,,True,46,1,1,0,0
18070302251330613,2026-05-17T16:00:27.712459+00:00,cavalier,,True,35,0,1,0,0
17936482932057371,2026-05-17T16:00:27.712459+00:00,cavalier,,True,28,0,1,0,0
18128370028608023,2026-05-17T16:00:27.712459+00:00,cavalier,,True,89,2,1,0,0
18127068127613019,2026-05-17T16:00:27.712459+00:00,cavalier,,True,42,2,1,1,0
18067912514489306,2026-05-17T16:00:27.712459+00:00,cavalier,,True,23,0,1,0,0
17999791124933944,2026-05-17T16:00:27.712459+00:00,cavalier,,True,401,28,1,0,0
18051573071741566,2026-05-17T16:00:27.712459+00:00,cavalier,,True,36,3,1,1,0
18007705010884489,2026-05-17T16:00:27.712459+00:00,cavalier,,True,22,0,1,0,0
17856492696641910,2026-05-17T16:00:27.712459+00:00,cavalier,,True,37,1,0,0,0
17856381675646613,2026-05-17T16:00:27.712459+00:00,cavalier,,True,16,0,1,0,0
18082919339528871,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,3,0,1,0,0
18180230278386593,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,4,0,1,0,0
18115089289835759,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,34,0,0,0,0
17965347672098869,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,94,0,1,0,0
18100217270091817,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,191,2,1,0,0
17989233404987112,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,240,2,1,0,0
18097606319133894,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,310,2,1,0,0
18111745549676255,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,345,0,1,0,0
17989460870966578,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,367,0,0,0,0
18079509911411721,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,613,3,0,0,0
18012730340854848,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,263,0,1,0,0
18071123579672981,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,212,0,1,0,0
18084296894387113,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,8792,55,0,0,0
17899829235282467,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,155,0,1,0,0
18068799698690537,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,121,0,1,0,0
18122217163726147,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,100,1,1,0,0
18090962131993102,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,78,0,1,0,0
18027923282811119,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,56,0,1,0,0
17969085551905103,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,49,0,1,0,0
18108943039912114,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,31,0,1,0,0
18062770589438591,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,42,0,1,0,0
17951768532146546,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,24,0,0,0,0
18061965011456580,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,36,0,1,0,0
17924177466124722,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,20,0,0,0,0
17879961588589591,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,21,0,1,0,0
18128207803593026,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,37,0,1,0,0
18074012864653139,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,16,0,1,0,0
18090340310581440,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,24,0,1,0,0
18046930961773665,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,15,0,1,0,0
18101499713059314,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,559,28,0,0,0
18081659204414829,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,112,1,0,0,0
18109149163714040,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,5,0,1,0,0
18422140360124218,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,7,0,1,0,0
17968896278904378,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,2,0,1,0,0
17890663707495431,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,6,0,0,0,0
18136995982476982,2026-05-18T16:00:37.270692+00:00,schnauzer,,,2466,8,10,0,0
17917500087166870,2026-05-18T16:00:37.270692+00:00,chihuahua,,,7,0,1,0,0
17992986347959687,2026-05-18T16:00:37.270692+00:00,shiba,,,1053,11,0,0,0
18091414241593614,2026-05-18T16:00:37.270692+00:00,shiba,,True,191,1,1,0,0
18195928786321537,2026-05-18T16:00:37.270692+00:00,shiba,,True,819,2,0,0,0
17965107639080497,2026-05-18T16:00:37.270692+00:00,shiba,,True,694,2,0,0,0
18096317570138166,2026-05-18T16:00:37.270692+00:00,shiba,,True,85,1,1,0,0
17949558345168553,2026-05-18T16:00:37.270692+00:00,shiba,,True,92,2,1,0,0
17950399647176309,2026-05-18T16:00:37.270692+00:00,shiba,,True,114,1,1,0,0
18103786837791234,2026-05-18T16:00:37.270692+00:00,shiba,,True,377,1,0,0,0
18116558551704140,2026-05-18T16:00:37.270692+00:00,shiba,,True,52,2,1,0,0
17999190236761226,2026-05-18T16:00:37.270692+00:00,shiba,,True,62,1,1,0,0
17886913890540574,2026-05-18T16:00:37.270692+00:00,shiba,,True,43,0,1,0,0
17924162442340402,2026-05-18T16:00:37.270692+00:00,shiba,,True,139,0,1,0,0
17937867003217252,2026-05-18T16:00:37.270692+00:00,shiba,,True,48,0,1,0,0
18078452315545820,2026-05-18T16:00:37.270692+00:00,shiba,,True,100,0,1,0,0
18100435259087156,2026-05-18T16:00:37.270692+00:00,shiba,,True,809,7,0,0,0
18106497379938402,2026-05-18T16:00:37.270692+00:00,shiba,,True,357,2,1,0,0
17880368091581811,2026-05-18T16:00:37.270692+00:00,shiba,,True,1421,28,0,0,0
18361730890234307,2026-05-18T16:00:37.270692+00:00,shiba,,True,122,0,1,0,0
18116131102773865,2026-05-18T16:00:37.270692+00:00,shiba,,True,51,0,1,0,0
17987783025003967,2026-05-18T16:00:37.270692+00:00,shiba,,True,178,3,1,0,0
17894323614334456,2026-05-18T16:00:37.270692+00:00,shiba,,True,99,0,1,0,0
18451027096112009,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,169,1,1,0,0
18047079593777886,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,139,0,1,0,0
18117246022674158,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,85,1,1,0,0
18114443632674525,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,184,0,1,0,0
18115614073701352,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,160,0,1,0,0
18419849317179630,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,3340,32,0,0,0
18109709123498671,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,563,5,1,0,0
18021294173666125,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,385,0,1,0,0
18087391586168764,2026-05-18T16:00:37.270692+00:00,cavalier,,True,174,1,1,0,0
18066127145498397,2026-05-18T16:00:37.270692+00:00,cavalier,,True,223,3,1,0,0
17951831156984964,2026-05-18T16:00:37.270692+00:00,cavalier,,True,175,1,1,0,0
18232929538308966,2026-05-18T16:00:37.270692+00:00,cavalier,,True,213,1,1,0,0
18081467180139816,2026-05-18T16:00:37.270692+00:00,cavalier,,True,257,2,1,0,0
18372524605200069,2026-05-18T16:00:37.270692+00:00,cavalier,,True,778,5,0,0,0
18040325729590683,2026-05-18T16:00:37.270692+00:00,cavalier,,True,3136,43,0,0,0
18076304762243602,2026-05-18T16:00:37.270692+00:00,cavalier,,True,1843,73,0,0,0
18130214047583587,2026-05-18T16:00:37.270692+00:00,cavalier,,True,279,4,1,0,0
17919094587360755,2026-05-18T16:00:37.270692+00:00,cavalier,,True,195,3,1,0,0
18201740863354515,2026-05-18T16:00:37.270692+00:00,cavalier,,True,179,1,1,0,0
18053535191740695,2026-05-18T16:00:37.270692+00:00,cavalier,,True,692,5,0,0,0
18198231193363230,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,168,0,1,0,0
17883458586412955,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,126,0,1,0,0
18009038717713043,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,220,3,1,0,0
18129516817581903,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,83,0,1,0,0
17928180204278406,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,300,0,0,0,0
17945063040016452,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,72,1,5,0,0
17933632518072127,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,632,0,0,0,0
18078337157553263,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,43,0,1,0,0
18079891214543254,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,7,0,1,0,0
18206969350341088,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,5,0,1,0,0
17979400065009229,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,4,0,0,0,0
17909063145224505,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,4,0,1,0,0
17889310911486801,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,3,0,0,0,0
17952976935134715,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,51,0,0,0,0
